Star_name,Injection_wavelength,Injected_peak_photons,Local_median_photons
GJ1002,5490.07413621209,491.3580580902093,167.00007247924805
GJ1002,5555.36527738973,506.2383718872068,92.57902526855469
GJ1002,5622.229264717167,1001.8721543884269,144.4230613708496
GJ144,5490.07413621209,227047.96640624997,141430.73828125
GJ144,5555.36527738973,314629.86796874995,153306.1640625
GJ144,5622.229264717167,479793.8594531249,153957.7109375
GJ234,5490.07413621209,4304.48793457031,2222.555145263672
GJ234,5555.36527738973,4564.474191894529,1697.47119140625
GJ234,5622.229264717167,8261.315734863278,1963.9265747070312
GJ244,5490.07413621209,251625.49453124998,164281.6875
GJ244,5555.36527738973,335517.99937499996,165101.5625
GJ244,5622.229264717167,499642.87781249994,163988.875
GJ280,5490.07413621209,1055694.66140625,688722.25390625
GJ280,5555.36527738973,1420594.1315624998,700575.5546875
GJ280,5622.229264717167,2161621.69921875,709947.55859375
GJ54.1,5490.07413621209,1999.53857849121,916.2645568847656
GJ54.1,5555.36527738973,1846.107690429687,631.3988647460938
GJ54.1,5622.229264717167,3776.705670776365,824.8362731933594
GJ628,5490.07413621209,14901.868264160146,8173.3154296875
GJ628,5555.36527738973,17584.602910156245,7208.587646484375
GJ628,5622.229264717167,29259.48638671875,6912.439453125
GJ65A,5490.07413621209,1287.2688189697255,679.833251953125
GJ65A,5555.36527738973,1174.1833361816405,349.39671325683594
GJ65A,5622.229264717167,2444.0362298583977,604.3910369873047
GJ687,5490.07413621209,27567.96846679687,14605.130859375
GJ687,5555.36527738973,34546.123046874985,14314.69140625
GJ687,5622.229264717167,54032.3082128906,12849.609130859375
GJ702B,5490.07413621209,164158.14902343747,105022.59375
GJ702B,5555.36527738973,223767.86578125,108709.8359375
GJ702B,5622.229264717167,340678.84757812496,111627.90234375
GJ768,5490.07413621209,558281.4127734376,364841.109375
GJ768,5555.36527738973,750513.0360937498,367405.27734375
GJ768,5622.229264717167,1118758.3668749998,368199.578125
GJ820A,5490.07413621209,97616.06255859374,62095.140625
GJ820A,5555.36527738973,136942.389140625,65372.740234375
GJ820A,5622.229264717167,207371.17113281248,67275.716796875
GJ83.1,5490.07413621209,934.0935607910155,498.597412109375
GJ83.1,5555.36527738973,911.3159814453122,344.0841064453125
GJ83.1,5622.229264717167,1869.7322790527337,395.6396484375
GJ860A,5490.07413621209,18605.871870117182,9879.420654296875
GJ860A,5555.36527738973,21606.15631835936,8929.44189453125
GJ860A,5622.229264717167,36908.04376464843,8763.525634765625
GJ860B,5490.07413621209,28667.869936523428,15460.40966796875
GJ860B,5555.36527738973,33930.90267578122,14281.4267578125
GJ860B,5622.229264717167,57390.501093749976,13859.69189453125
GJ866,5490.07413621209,1773.562053222656,874.8395080566406
GJ866,5555.36527738973,1624.9918200683592,544.3979949951172
GJ866,5622.229264717167,3440.7183087158196,782.8832702636719
GJ873,5490.07413621209,7694.0686889648405,4153.3953857421875
GJ873,5555.36527738973,8606.461445312496,3636.8408813476562
GJ873,5622.229264717167,14941.124450683588,3694.3012084960938
GJ876,5490.07413621209,10004.913830566406,4997.7681884765625
GJ876,5555.36527738973,11454.684150390618,4673.644775390625
GJ876,5622.229264717167,19102.928496093744,4530.12158203125
GJ905,5490.07413621209,2604.1278973388653,1184.7805786132812
GJ905,5555.36527738973,2518.272960205076,800.0091857910156
GJ905,5622.229264717167,5110.622384033197,979.4492797851562
HD210610,5490.07413621209,498.7884162139886,20.49184960126877
HD210610,5555.36527738973,666.0302915954576,9.065049827098846
HD210610,5622.229264717167,1010.2331545257549,21.750863254070282
HIP100017,5490.07413621209,168191.7479296875,108566.1171875
HIP100017,5555.36527738973,228442.72359375,111389.01171875
HIP100017,5622.229264717167,346389.898125,112809.3125
HIP100064,5490.07413621209,131421.7939453125,83482.70703125
HIP100064,5555.36527738973,179708.031875,87106.39453125
HIP100064,5622.229264717167,274438.46859375,86814.37890625
HIP100511,5490.07413621209,138403.28261718748,87469.498046875
HIP100511,5555.36527738973,187107.22601562497,91155.220703125
HIP100511,5622.229264717167,283015.941796875,91934.015625
HIP100859,5490.07413621209,166570.4312109375,107296.92578125
